Meaning,Present,Past,PastParticiple
to tell a lie,lügen,log,gelogen
to avoid,meiden,mied,gemieden
to measure,messen,maß,gemessen
to take,nehmen,nahm,genommen
to praise,preisen,pries,gepriesen
to advise,raten,riet,geraten
to rub,reiben,rieb,gerieben
to pour,gießen,goss,gegossen
to dig,graben,grub,gegraben
to seize,greifen,griff,gegriffen
to have,haben,hatte,gehabt
to hold,halten,hielt,gehalten
to be hanging,hängen,hing,gehangen
to lift,heben,hob,gehoben
to be called,heißen,hieß,geheißen
to find,finden,fand,gefunden
to fly,fliegen,flog,geflogen
to flee,fliehen,floh,geflohen
to flow,fließen,floss,geflossen
to eat (of animals),fressen,fraß,gefressen
to fry,braten,briet,gebraten
to break,brechen,brach,gebrochen
to burn,brennen,brannte,gebrannt
to bring,bringen,brachte,gebracht
to think,denken,dachte,gedacht
to request,bitten,bat,gebeten
to blow,blasen,blies,geblasen
to stay,bleiben,blieb,geblieben
to bake,backen,backte,gebacken
to command,befehlen,befahl,befohlen
to begin,beginnen,begann,begonnen
to bite,beißen,biss,gebissen
to offer,bieten,bot,geboten
to bind,binden,band,gebunden
to recommend,empfehlen,empfahl,empfohlen
to be startled,erschrecken,erschrak,erschrocken
to eat,essen,aß,gegessen
"to drive, to go",fahren,fuhr,gefahren
to fall,fallen,fiel,gefallen
to freeze,frieren,fror,gefroren
to give birth,gebären,gebar,geboren
to give,geben,gab,gegeben
"to walk, to go",gehen,ging,gegangen
to enjoy,genießen,genoss,genossen
to occur,geschehen,geschah,geschehen
to win,gewinnen,gewann,gewonnen
to help,helfen,half,geholfen
to know,kennen,kannte,gekannt
to sound,klingen,klang,geklungen
to come,kommen,kam,gekommen
to load,laden,lud,geladen
to let,lassen,ließ,gelassen
