Meaning,Present,Past,PastParticiple
to stand,stehen,stand,gestanden
to steal,stehlen,stahl,gestohlen
to climb,steigen,stieg,gestiegen
to die,sterben,starb,gestorben
to stink,stinken,stank,gestunken
"to bump, to push",stoßen,stieß,gestoßen
to stroke,streichen,strich,gestrichen
to stride,streiten,stritt,gestritten
to be silent,schweigen,schwieg,geschwiegen
to swim,schwimmen,schwamm,geschwommen
to swear,schwören,schwor,geschworen
to see,sehen,sah,gesehen
to be,sein,war,gewesen
to send,senden,sandte,gesandt
to sing,singen,sang,gesungen
to sink,sinken,sank,gesunken
to sit,sitzen,saß,gesessen
to speak,sprechen,sprach,gesprochen
to jump,springen,sprang,gesprungen
to cut,schneiden,schnitt,geschnitten
to write,schreiben,schrieb,geschrieben
"to scream, to shout",schreien,schrie,geschrien
to shoot,schießen,schoss,geschossen
to sleep,schalfen,schlief,geschlafen
"to hit, to beat",schalgen,schlug,geschalgen
"to close, to shut",schließen,schloss,geschlossen
to fling,schmeißen,schmiss,geschmissen
to melt,schmelzen,schmolz,geschmolzen
to tell a lie,lügen,log,gelogen
to avoid,meiden,mied,gemieden
to measure,messen,maß,gemessen
to take,nehmen,nahm,genommen
to praise,preisen,pries,gepriesen
to advise,raten,riet,geraten
to rub,reiben,rieb,gerieben
to pour,gießen,goss,gegossen
to dig,graben,grub,gegraben
to seize,greifen,griff,gegriffen
to have,haben,hatte,gehabt
to hold,halten,hielt,gehalten
to be hanging,hängen,hing,gehangen
to lift,heben,hob,gehoben
to be called,heißen,hieß,geheißen
to find,finden,fand,gefunden
to fly,fliegen,flog,geflogen
to flee,fliehen,floh,geflohen
to flow,fließen,floss,geflossen
to eat (of animals),fressen,fraß,gefressen
to fry,braten,briet,gebraten
to break,brechen,brach,gebrochen
to burn,brennen,brannte,gebrannt
to bring,bringen,brachte,gebracht
to think,denken,dachte,gedacht
to request,bitten,bat,gebeten
to blow,blasen,blies,geblasen
to stay,bleiben,blieb,geblieben
to bake,backen,backte,gebacken
to command,befehlen,befahl,befohlen
to begin,beginnen,begann,begonnen
to bite,beißen,biss,gebissen
to offer,bieten,bot,geboten
to bind,binden,band,gebunden
to recommend,empfehlen,empfahl,empfohlen
to be startled,erschrecken,erschrak,erschrocken
to eat,essen,aß,gegessen
"to drive, to go",fahren,fuhr,gefahren
to fall,fallen,fiel,gefallen
to freeze,frieren,fror,gefroren
to give birth,gebären,gebar,geboren
to give,geben,gab,gegeben
"to walk, to go",gehen,ging,gegangen
to enjoy,genießen,genoss,genossen
to occur,geschehen,geschah,geschehen
to win,gewinnen,gewann,gewonnen
to help,helfen,half,geholfen
to know,kennen,kannte,gekannt
to sound,klingen,klang,geklungen
to come,kommen,kam,gekommen
to load,laden,lud,geladen
to let,lassen,ließ,gelassen
"to rip, to tear",reißen,riss,gerissen
to ride (a horse),reiten,ritt,geritten
to run,rennen,rannte,gerannt
to smell,riechen,roch,gerochen
"to call, to cry out",rufen,rief,gerufen
to create,schaffen,schuf,geschaffen
"to seem, to shine",scheinen,schien,geschienen
"to push, to shove",shieben,schob,geschoben
